char,mean_log_rt,acc_rate,strokes,log_freq,sem_component,sem_log_freq,phon_component,phon_log_freq
钌,6.622842142925915,0.06896551724137931,7,0.006380458549693074,钅,3.5720378860357442,了,1.9011688769470183
钒,6.763061848014942,0.3448275862068966,8,0.006380458549693074,钅,3.5720378860357442,凡,2.851851520020539
钓,6.43566386336926,1,8,1.147345454395205,钅,3.5720378860357442,勺,4.514732763867866
钕,6.865955071920188,0.41379310344827586,8,0.012710712741786966,钅,3.5720378860357442,女,0.5881708267309689
钙,6.472028183435113,1,9,0.8751249552450908,钅,3.5720378860357442,丐,1.0742384591737535
钚,6.744330931498667,0.1724137931034483,9,0.23716658268547308,钅,3.5720378860357442,不,2.3789000474580506
钛,6.639663915660088,0.7931034482758621,9,0.19816203904607554,钅,3.5720378860357442,太,2.704046651392328
钜,6.6725231152016,0.5172413793103449,9,0.021974455110060194,钅,3.5720378860357442,巨,2.2827702506729817
钝,6.567647575174781,0.9310344827586207,9,0.34551095769694995,钅,3.5720378860357442,屯,2.4485154047506685
钞,6.4981602178429,0.9655172413793104,9,0.34551095769694995,钅,3.5720378860357442,少,2.7911497946595354
钟,6.492021941269726,0.9655172413793104,9,1.7765871485605986,钅,3.5720378860357442,中,3.273949615207906
钠,6.558097060094993,0.896551724137931,9,0.4213241774638618,钅,3.5720378860357442,内,2.059072429349326
钢,6.428041803352407,1,9,0.9584444238670943,钅,3.5720378860357442,冈,3.02796737517184
钥,6.611865224721341,0.9310344827586207,9,0.31386722036915343,钅,3.5720378860357442,月,1.5608949253923983
钦,6.597079288013686,0.9310344827586207,9,0.06284511327705045,钅,3.5720378860357442,欠,2.4536014566818847
钧,6.521654373520869,0.9310344827586207,9,0.025018972282759518,钅,3.5720378860357442,匀,1.8438249338314743
钩,6.426829552239266,1,9,0.713784453423072,钅,3.5720378860357442,勾,2.3869193231960795
钮,6.779899089250551,0.6206896551724138,9,0.21808890286084492,钅,3.5720378860357442,丑,2.133783130335298
钯,6.7458217393053035,0.4482758620689655,9,0.034026523775110236,钅,3.5720378860357442,巴,3.7263610903503523
钱,6.504663890596301,0.9310344827586207,10,2.8928199921634765,钅,3.5720378860357442,戋,3.094251934559508
钳,6.640897185650834,0.8275862068965517,10,0.2897895556069106,钅,3.5720378860357442,甘,1.010486527469298
钴,6.640316538300965,0.6896551724137931,10,0.08457627793433102,钅,3.5720378860357442,古,3.0270373744391095
钵,6.847435787083168,0.7241379310344828,10,0.11277252110537028,钅,3.5720378860357442,本,1.782118450953854
钻,6.416693603874452,1,10,1.3245129201179993,钅,3.5720378860357442,占,3.656184122463196
钾,6.680931703955485,0.8620689655172413,10,0.5373530800399302,钅,3.5720378860357442,甲,1.9186383428691332
铀,6.731431545203137,0.8275862068965517,10,0.14622108881188045,钅,3.5720378860357442,由,2.9692559581522486
铁,6.536868129996484,0.9310344827586207,10,1.6315320395278643,钅,3.5720378860357442,NA,NA
铂,6.68911898547692,0.7931034482758621,10,0.09760432887441087,钅,3.5720378860357442,白,2.948556630886194
铃,6.5280222215018275,1,10,0.7826875682349664,钅,3.5720378860357442,令,3.0971064086746147
铅,6.406503496409623,1,10,0.7100326990657535,钅,3.5720378860357442,NA,NA
铆,6.907159969694619,0.3103448275862069,10,0.006380458549693074,钅,3.5720378860357442,卯,2.6176551702956625
铉,6.796123277864133,0.27586206896551724,10,0.11524428532725489,钅,3.5720378860357442,玄,1.8324303493929075
铎,6.6934622826435675,0.6551724137931034,10,0.07110842178244968,钅,3.5720378860357442,NA,NA
铐,6.728552605569577,0.9310344827586207,11,0.49622369185226645,钅,3.5720378860357442,考,1.9180691488085968
铛,6.582359892056249,1,11,0.19816203904607554,钅,3.5720378860357442,当,2.129952387041199
铜,6.481066130141301,1,11,1.2501808305127131,钅,3.5720378860357442,同,2.046712062303551
铝,6.573405218094463,0.9310344827586207,11,0.4900146951367639,钅,3.5720378860357442,吕,1.732453270174502
铢,6.540746361186695,0.6551724137931034,11,0.03702787975577494,钅,3.5720378860357442,朱,2.1559354359489156
铥,6.457308547288125,0.13793103448275862,11,0.021974455110060194,钅,3.5720378860357442,丢,0.05812221578291381
铪,6.8729520896512755,0.1724137931034483,11,0.04289038972924478,钅,3.5720378860357442,合,3.5717873120926735
铬,6.796055596049511,0.6896551724137931,11,0.1899392549275125,钅,3.5720378860357442,各,3.3823519688844037
铭,6.56360051888504,0.896551724137931,11,0.05153839051532738,钅,3.5720378860357442,名,1.8182912308777777
铯,6.797897986848527,0.3448275862068966,11,0.009535876619218136,钅,3.5720378860357442,色,0.012668533896330299
铱,6.849290911917001,0.41379310344827586,11,0.018908444316327377,钅,3.5720378860357442,衣,2.396380178269743
铲,6.519115265043342,1,11,0.3695312559413108,钅,3.5720378860357442,产,0.9164223623480927
银,6.441277278358125,0.9655172413793104,11,1.4869784917298214,钅,3.5720378860357442,艮,3.745645108016717
铸,6.566063241069064,0.896551724137931,12,0.2897895556069106,钅,3.5720378860357442,寿,2.0284809686130783
铺,6.588316551787692,0.9310344827586207,12,1.0526593200814116,钅,3.5720378860357442,甫,2.2502572333727926
链,6.7448776158178525,0.7931034482758621,12,0.6055097521113878,钅,3.5720378860357442,连,2.095604125875368
铿,6.715071635368935,0.9310344827586207,12,0.025018972282759518,钅,3.5720378860357442,坚,0.29292029960000626
销,6.549523142014578,0.9655172413793104,12,0.3857313609887843,钅,3.5720378860357442,肖,2.8959965293114776
锁,6.402130613401136,1,12,1.5080675723682102,钅,3.5720378860357442,锁,1.9465372487172796
锂,6.664356232865618,0.9310344827586207,12,0.19200959265367015,钅,3.5720378860357442,里,2.9673364401446936
锄,6.757523138584345,0.7931034482758621,12,0.3896798432192493,钅,3.5720378860357442,助,0.8741337788279723
锅,6.4019075457770525,1,12,1.7679939505251485,钅,3.5720378860357442,呙,2.4461189806605823
锈,6.637141771914242,0.9310344827586207,12,0.1836399042213519,钅,3.5720378860357442,秀,2.2152424744927908
锋,6.527364443259802,1,12,0.2881150252881032,钅,3.5720378860357442,夆,2.319899977540395
锌,6.6955348507983015,0.9310344827586207,12,0.524071415934022,钅,3.5720378860357442,辛,0.4813852921127698
锐,6.609669866879942,0.9310344827586207,12,0.13455957742262487,钅,3.5720378860357442,兑,3.5856436812297527
锑,6.695816867907758,0.5172413793103449,12,0.060055364824844734,钅,3.5720378860357442,弟,2.2567533345432698
锕,6.933991695740477,0.27586206896551724,12,0.015820634262069203,钅,3.5720378860357442,阿,3.5111089452501907
锗,6.834804392047879,0.5517241379310345,13,0.018908444316327377,钅,3.5720378860357442,者,3.674536143019684
错,6.501985760726771,0.9655172413793104,13,2.616784923798312,钅,3.5720378860357442,昔,3.0483123116615727
锚,6.652749702903454,0.8620689655172413,13,0.2042285427069596,钅,3.5720378860357442,苗,2.4099163933772685
锡,6.626424326366008,0.8620689655172413,13,0.6657966776894944,钅,3.5720378860357442,易,1.9732077749107497
锣,6.509994761562393,0.9310344827586207,13,0.24087360002058092,钅,3.5720378860357442,罗,1.9976453983186158
锤,6.552427417908643,0.896551724137931,13,0.3261924381277724,钅,3.5720378860357442,垂,1.2226852632372087
锥,6.720293674937817,0.7241379310344828,13,0.0950297966484517,钅,3.5720378860357442,隹,3.485260361317536
锦,6.459492534551437,1,13,0.6972903838788824,钅,3.5720378860357442,钅,1.4543371245105927
锭,6.740975245182082,0.9310344827586207,13,0.11277252110537028,钅,3.5720378860357442,定,1.5694745699848975
键,6.644191814682776,0.8620689655172413,13,0.7438310551276528,钅,3.5720378860357442,建,2.5855832171188124
锯,6.6162343569505815,0.896551724137931,13,0.531708776810456,钅,3.5720378860357442,居,2.6364878963533656
锰,6.7537438963963385,0.6896551724137931,13,0.025018972282759518,钅,3.5720378860357442,孟,1.896131425349908
锲,6.593306781778343,0.9310344827586207,14,0.009535876619218136,钅,3.5720378860357442,契,0.27733411221598403
锶,6.743446480402689,0.5172413793103449,14,0.05438320830547721,钅,3.5720378860357442,思,1.1405017579784917
锹,6.772526585408696,0.5517241379310345,14,0.034026523775110236,钅,3.5720378860357442,秋,1.7861378673245527
锻,6.675767756529524,0.7586206896551724,14,0.03996902686746079,钅,3.5720378860357442,段,1.3325131925356826
镀,6.717857539412719,0.896551724137931,14,0.3292351155694239,钅,3.5720378860357442,度,1.4204244674507478
镁,6.688715981130319,0.8275862068965517,14,0.436893809463851,钅,3.5720378860357442,美,0.5264038997367981
镇,6.534289933023423,0.9655172413793104,15,1.526459467265575,钅,3.5720378860357442,真,2.234548411896662
镉,6.818732524806371,0.5862068965517241,15,0.03702787975577494,钅,3.5720378860357442,鬲,1.935954932693245
镍,6.7664084811390275,0.6896551724137931,15,0.19200959265367015,钅,3.5720378860357442,臬,0.1626540041195758
镐,6.660867481755699,0.7931034482758621,15,0.060055364824844734,钅,3.5720378860357442,高,2.641006248359425
镑,6.630069139193789,0.7241379310344828,15,0.5875762791806778,钅,3.5720378860357442,旁,2.1703702754459924
镖,6.638321514700707,0.896551724137931,16,0.31073578405449936,钅,3.5720378860357442,票,2.4747880486296663
镗,6.621222456040085,0.5172413793103449,16,0.015820634262069203,钅,3.5720378860357442,堂,2.155561022682729
镚,6.400257445308821,0.06896551724137931,16,0.009535876619218136,钅,3.5720378860357442,崩,1.1340910054223694
镜,6.44151175469679,0.9655172413793104,16,1.2661705241449785,钅,3.5720378860357442,竟,2.4157850537041115
镣,6.750730286755149,0.8275862068965517,17,0.012710712741786966,钅,3.5720378860357442,尞,1.1809254567561644
镬,6.8182596445877355,0.1724137931034483,18,0.018908444316327377,钅,3.5720378860357442,蒦,0.1800111190577175
镭,6.667867132796075,0.896551724137931,18,0.10527168310679376,钅,3.5720378860357442,雷,1.5448032406461893
镰,6.74715712193497,0.7241379310344828,18,0.06561705572687246,钅,3.5720378860357442,廉,0.3015725247562753
镶,6.647016102634611,0.896551724137931,22,0.23340227781189518,钅,3.5720378860357442,襄,1.2282976764748628
长,6.28228999697263,0.9655172413793104,4,2.549932565093661,长,3.00375086947354,NA,NA
门,6.35059500063814,1,3,2.1548449768115394,门,3.5891259611489463,NA,NA
闩,6.9163643114724715,0.13793103448275862,4,0.0792174357465669,门,3.5891259611489463,NA,NA
闪,6.374790636864899,1,5,1.3465153154653486,门,3.5891259611489463,NA,NA
闭,6.39254035521644,0.9655172413793104,6,1.8340542920227145,门,3.5891259611489463,NA,NA
问,6.337449386864843,0.9310344827586207,6,2.769709567185217,门,3.5891259611489463,门,3.862905624022577
闯,6.449066808772061,1,6,1.6172363066153772,门,3.5891259611489463,NA,NA
闰,6.600116431537492,0.8620689655172413,7,0.025018972282759518,门,3.5891259611489463,NA,NA
闲,6.372182099482234,1,7,1.4574625320550976,门,3.5891259611489463,NA,NA
间,6.473291371069155,0.9655172413793104,7,2.121745602396822,门,3.5891259611489463,NA,NA
闵,6.608340130023173,0.7931034482758621,7,0.0738282844011087,门,3.5891259611489463,文,2.171917676593199
闷,6.345133318392543,0.9655172413793104,7,1.444471070078707,门,3.5891259611489463,门,3.862905624022577
闸,6.703673403564947,0.8620689655172413,8,0.12502558681994894,门,3.5891259611489463,甲,1.9186383428691332
闹,6.419198467658778,0.9310344827586207,8,1.8271113341219947,门,3.5891259611489463,NA,NA
闺,6.51585485964155,0.896551724137931,9,0.16423385469261065,门,3.5891259611489463,圭,2.9902916926420664
闻,6.380673915525115,0.9655172413793104,9,1.5551827501779842,门,3.5891259611489463,门,3.862905624022577
闾,6.643878441817221,0.6896551724137931,9,0.006380458549693074,门,3.5891259611489463,吕,1.732453270174502
阀,6.5765613660411395,1,9,0.26249855101476754,门,3.5891259611489463,伐,0.5402168189606062
阁,6.461673181541454,1,9,0.451939869365103,门,3.5891259611489463,各,3.3823519688844037
阅,6.480130090161214,0.9310344827586207,10,0.14160653011825053,门,3.5891259611489463,兑,3.5856436812297527
阉,6.674944940670284,1,11,0.21808890286084492,门,3.5891259611489463,奄,2.046577098960346
阎,6.698331569900678,0.7241379310344828,11,0.025018972282759518,门,3.5891259611489463,臽,2.0238567580599254
阐,6.614482403949774,0.7586206896551724,11,0.006380458549693074,门,3.5891259611489463,单,2.3314297261334263
阑,6.659434655992603,0.9655172413793104,12,0.02804229509074957,门,3.5891259611489463,柬,2.16297729771934
阔,6.548008041968319,0.7931034482758621,12,0.8109512651653086,门,3.5891259611489463,活,1.3536335303024372
阙,6.670155334116184,0.9310344827586207,13,0.048674814992229434,门,3.5891259611489463,欮,0.49600197870139795
阜,6.695028784947067,0.9310344827586207,8,0.009535876619218136,阜,0.46035651586184767,NA,NA
队,6.372997647745886,0.9655172413793104,4,1.869244630996623,阝,4.109007176891624,NA,NA
阪,6.778377422167845,0.6896551724137931,7,0.10527168310679376,阝,4.109007176891624,反,3.2267640555375565
阮,6.5770454859404905,0.896551724137931,7,0.07653121925381198,阝,4.109007176891624,元,3.5389871471781786
防,6.375623216409713,0.9655172413793104,7,1.2614341731001504,阝,4.109007176891624,方,3.3139645462407343
阳,6.512857907967354,0.8620689655172413,6,0.8444523227037047,阝,4.109007176891624,NA,NA
阴,6.3929741048153215,1,6,1.4480427800535576,阝,4.109007176891624,NA,NA
阵,6.436543411327621,1,6,1.4935375133414506,阝,4.109007176891624,NA,NA
阶,6.505400633100015,0.9655172413793104,6,1.8255747521754269,阝,4.109007176891624,介,3.042886494517565
阻,6.467260152312641,0.9655172413793104,8,0.23716658268547308,阝,4.109007176891624,且,3.1142064216637513
阿,6.565349379105607,0.896551724137931,8,2.070179035569692,阝,4.109007176891624,可,3.2256940047552276
陀,6.600614074570411,0.8620689655172413,8,0.27806733088866253,阝,4.109007176891624,它,1.8625291015648278
附,6.395414695256521,0.9310344827586207,8,0.9041743682841635,阝,4.109007176891624,付,2.2117794956260486
际,6.429576569695165,0.9655172413793104,7,0.8079542377957559,阝,4.109007176891624,NA,NA
陆,6.372018169057416,0.9655172413793104,7,0.5697366456612172,阝,4.109007176891624,NA,NA
陈,6.410075910265974,0.9655172413793104,7,1.4038751599093995,阝,4.109007176891624,NA,NA
陋,6.593233705742278,0.7586206896551724,9,0.012710712741786966,阝,4.109007176891624,NA,NA
陌,6.558037941456449,0.9655172413793104,9,0.17078959044639155,阝,4.109007176891624,百,1.7496219311417642
降,6.567759428593877,1,9,1.2252291366590429,阝,4.109007176891624,夅,2.121101673036463
限,6.545521045907945,0.8620689655172413,9,1.1184267707183198,阝,4.109007176891624,艮,3.745645108016717
陡,6.577183009196265,1,10,0.0924399113311414,阝,4.109007176891624,走,0.46553155697354975
院,6.5968650555608574,0.7931034482758621,10,0.9781805169374139,阝,4.109007176891624,完,2.3638903279583663
除,6.514116518497917,0.9655172413793104,10,1.3835909823629866,阝,4.109007176891624,余,2.7190630853597315
陨,6.510251885909441,0.896551724137931,9,0.021974455110060194,阝,4.109007176891624,员,2.2028916367060956
险,6.44567626952239,0.9310344827586207,9,1.0268109934319793,阝,4.109007176891624,佥,3.144123521737966
陪,6.423472199280299,0.9655172413793104,11,2.45220947471325,阝,4.109007176891624,咅,3.0434593054690837
陵,6.535658899318759,1,11,0.10019817183413186,阝,4.109007176891624,夌,2.168846487731823
陶,6.4031223508769894,1,11,0.5013331786455661,阝,4.109007176891624,匋,2.288745853116139
陷,6.515899363966544,1,11,0.9109444057499789,阝,4.109007176891624,臽,2.0238567580599254
隅,6.739337186950333,0.8275862068965517,12,0.3011819721383155,阝,4.109007176891624,禺,2.774909696874687
隆,6.417406916707862,1,12,0.9168328038940173,阝,4.109007176891624,NA,NA
隋,6.596701689385968,1,12,0.24087360002058092,阝,4.109007176891624,NA,NA
随,6.512274472655073,0.9310344827586207,11,1.7616316959074232,阝,4.109007176891624,NA,NA
隐,6.403242269325141,1,11,0.7230203384660406,阝,4.109007176891624,NA,NA
隔,6.422049654150975,0.9655172413793104,13,1.4036197586031105,阝,4.109007176891624,鬲,1.935954932693245
隙,6.5646864685767055,0.9655172413793104,14,0.08983448870862953,阝,4.109007176891624,NA,NA
障,6.521137298976763,1,14,0.33967002424445536,阝,4.109007176891624,章,1.7150744641234543
隶,6.441969816126583,1,8,0.02804229509074957,隶,0.9620376865650127,NA,NA
隼,6.691629733091596,0.6206896551724138,10,0.08721334123161469,隹,3.166049828708006,隹,3.485260361317536
隽,6.627884766150987,0.9310344827586207,10,0.012710712741786966,隹,3.166049828708006,NA,NA
难,6.359802514846722,1,10,2.6487316860452115,隹,3.166049828708006,隹,3.485260361317536
雀,6.464331470603241,1,11,0.1899392549275125,隹,3.166049828708006,NA,NA
雁,6.615057071590637,0.9310344827586207,12,0.06284511327705045,隹,3.166049828708006,厂,0.7682087736070128
雄,6.430464494861669,1,12,1.1613350545072803,隹,3.166049828708006,厷,2.3541985555104348
雅,6.432012048867653,0.9655172413793104,12,0.8089600417597088,隹,3.166049828708006,牙,2.7606848657949086
集,6.546883677113493,1,12,2.109910468027776,隹,3.166049828708006,NA,NA
雇,6.559011300141444,0.9655172413793104,12,1.1107613741863522,隹,3.166049828708006,户,2.605118787629053
雌,6.75040884801547,1,14,0.751886998625783,隹,3.166049828708006,此,1.9011688769470183
雍,6.651263357076259,0.9655172413793104,13,0.025018972282759518,隹,3.166049828708006,NA,NA
雏,6.694299309326517,0.9310344827586207,13,0.08983448870862953,隹,3.166049828708006,刍,2.197943763746649
雕,6.560486893298479,1,16,0.25362873019375426,隹,3.166049828708006,周,2.5439362469995
雨,6.339762014664916,1,8,2.2020810772786485,雨,3.3309390938904815,NA,NA
雪,6.310796258192792,1,11,2.158167920779442,雨,3.3309390938904815,彐,2.9435567866981516
零,6.472054290475106,1,13,1.4303605119530272,雨,3.3309390938904815,令,3.0971064086746147
雷,6.280294696489088,1,13,1.664817725851735,雨,3.3309390938904815,NA,NA
雾,6.692472975052403,0.896551724137931,13,1.4238583706397163,雨,3.3309390938904815,务,2.615238087722728
需,6.477483786599906,0.9655172413793104,14,1.847432601265954,雨,3.3309390938904815,NA,NA
霄,6.619973393364854,0.9655172413793104,15,0.18783082044399968,雨,3.3309390938904815,肖,2.8959965293114776
震,6.422078801773732,1,15,0.8585011051157572,雨,3.3309390938904815,辰,2.462896850426404
霉,6.526891065958452,0.9310344827586207,15,0.45982957814907965,雨,3.3309390938904815,每,2.9662599855895415
霍,6.503045385819668,1,16,0.5033548084935295,雨,3.3309390938904815,NA,NA
霓,6.700332875873903,0.9310344827586207,16,0.06561705572687246,雨,3.3309390938904815,NA,NA
霜,6.498972500136144,0.9655172413793104,17,0.765355571196678,雨,3.3309390938904815,相,3.669494802556783
霞,6.496589795664932,0.9655172413793104,17,0.559212156030079,雨,3.3309390938904815,叚,2.691360907425204
露,6.545587877184519,0.9655172413793104,21,1.6197943172221851,雨,3.3309390938904815,路,2.0843424466085123
霸,6.564747589273532,0.9655172413793104,21,1.0586082077003551,雨,3.3309390938904815,NA,NA
霾,6.787894479300111,0.896551724137931,22,0.04289038972924478,雨,3.3309390938904815,貍,0.8792564871239188
青,6.3429059160502215,1,8,1.290751162594048,青,2.7864692519757073,NA,NA
靓,6.554845822872607,0.9310344827586207,12,0.6894686927076742,青,2.7864692519757073,见,3.3656557361716035
靖,6.671571020080907,0.9310344827586207,13,0.03996902686746079,青,2.7864692519757073,青,3.6559852707658385
静,6.326095928182818,1,14,1.5827971777804395,青,2.7864692519757073,争,2.651275590473068
非,6.316092219574257,1,8,2.149082026451315,非,2.852680259685591,NA,NA
靠,6.3951762676220545,1,15,2.293019182704375,非,2.852680259685591,告,2.7909103934472226
靡,6.590336695913239,0.9655172413793104,19,0.02804229509074957,非,2.852680259685591,麻,2.8858900811932964
面,6.356104733113037,1,9,2.180657947090399,面,3.145285432020798,NA,NA
靥,6.81432605817703,0.5862068965517241,15,0.03996902686746079,面,3.145285432020798,厌,0.5803432471725865
革,6.49360221732417,0.9310344827586207,9,0.31230432456870616,革,2.6309248424996667,NA,NA
靴,6.715045440525987,0.8620689655172413,13,0.4038922955594206,革,2.6309248424996667,化,3.129510853805808
靶,6.537329481293027,0.9655172413793104,13,0.22391108687227465,革,2.6309248424996667,巴,3.7263610903503523
鞋,6.492442797155792,0.896551724137931,15,1.8676318640210907,革,2.6309248424996667,圭,2.9902916926420664
鞍,6.700429246876669,1,15,0.07653121925381198,革,2.6309248424996667,安,2.637951497213228
鞠,6.464231551530087,0.9655172413793104,17,0.1102866084035656,革,2.6309248424996667,匊,1.636103581356263
鞭,6.592260242491203,0.9310344827586207,18,0.6234973877950521,革,2.6309248424996667,便,2.134712152625977
韦,6.44523924198573,1,4,0.27975817280247295,韦,2.366941559323081,NA,NA
韧,6.671725408704942,0.7586206896551724,7,0.12981874384893433,韦,2.366941559323081,刃,2.238455101235365
韩,6.5004323006208615,1,12,1.4101797731002792,韦,2.366941559323081,韦,2.7663082022568086
音,6.324537011678091,1,9,1.3752593033766658,音,2.6938550205359038,NA,NA
韵,6.491185666739524,1,13,0.17727671125858632,音,2.6938550205359038,匀,1.8438249338314743
韶,6.769453510237722,0.9310344827586207,14,0.015820634262069203,音,2.6938550205359038,召,3.30317630845622
