item,frequency,strokes,log10_frequency,mean_rt_ms,median_rt_ms,trials
峡,0.0519,9,-1.2848326421515421,685.8651724138683,619.974999997765,29
峨,0.0297,10,-1.5272435506827877,812.1379629617963,689.90999999363,27
峭,0.0297,10,-1.5272435506827877,778.5293478261902,750.72499999986,23
峰,6.4566,10,0.8100038817792726,640.2003448273113,619.244999998133,29
峻,0.0222,10,-1.6536470255493614,816.6824999991184,757.097500000964,24
崇,0.2076,11,-0.6827726508235797,754.5642307696761,649.4850000006845,26
崎,1.2231,11,0.08746196617181921,740.2121153844546,679.799999997951,26
崔,4.1883,11,0.6220377818125129,769.1794642862392,666.1624999978815,28
崖,0.467,11,-0.33068311943388784,719.367592592785,686.455000002752,27
崩,7.9837,11,0.9022042092922863,640.7289655174085,593.874999998836,29
崴,0.3039,12,-0.5172692999200571,896.4252777772853,837.9100000002366,18
崽,2.2313,12,0.34855796543645734,724.8224999996878,639.042499997275,24
嵌,1.4455,12,0.16001809600667663,852.2945652168746,697.164999997767,23
巅,0.341,19,-0.4672456210075022,842.8037999993669,785.039999998815,25
川,6.8421,3,0.8351894172812009,547.8959259259378,543.965000000782,27
州,21.0971,6,1.324222761432498,653.3358928568861,611.697500002163,28
巡,2.8243,7,0.4509108260287202,628.3264814814686,614.204999998212,27
巢,1.0823,11,0.034347658446848214,663.1878571420768,661.087499997439,28
工,15.6931,3,1.1957087421790629,543.96051724108,528.415000000736,29
左,150.5041,5,2.177548331046953,591.5971428573691,577.862499999494,28
巧,18.8955,5,1.2763583884132834,657.1051724140887,586.509999996983,29
巨,21.1638,5,1.325593648753669,600.7666000001062,531.4550000038,25
巩,0.0815,6,-1.0888423912600234,795.678913043278,685.760000000242,23
巫,0.7561,7,-0.12142076193778077,559.2349999998883,553.647499999031,28
差,169.5033,10,2.229178157747592,621.3822413789537,557.015000000363,29
己,14.0771,3,1.1485131957352392,604.743448276139,591.430000000633,29
已,629.103,3,2.7987217562076405,688.0829310341808,622.149999999208,29
巳,0.1186,3,-0.9259153109717562,927.3330000003684,828.199999999953,15
巴,22.3499,4,1.349275584311564,566.3696428569252,524.1949999984355,28
巷,2.2609,9,0.3542813538497285,637.476785714316,618.899999999383,28
巾,0.7561,3,-0.12142076193778077,537.2775925924437,530.500000000931,27
币,24.596,4,1.3908644843726108,557.4143103450571,533.540000000037,29
市,33.8325,5,1.5293340904894106,599.5581034481132,587.68499999959,29
布,21.0897,5,1.324070401964653,562.1713793104872,557.014999998733,29
帅,114.1067,5,2.0573111456241793,602.7289655175219,551.800000001094,29
帆,10.4818,6,1.020435868806277,644.9458620691311,624.980000000505,29
师,18.636,6,1.2703527017761833,570.2346551723825,562.790000003297,29
希,11.6901,7,1.0678182262398928,681.882068965629,616.929999996442,29
帐,20.4893,7,1.3115271213426136,680.8216666660805,620.19999999553,27
帕,3.1505,8,0.4983794839511456,856.4178571429285,672.5249999988595,28
帖,6.8866,8,0.8380048582375693,658.9146153842269,633.910000001837,26
