log10_frequency,strokes,subject,frequency,fit_ms,lower_ms,upper_ms
2.3846809530827082,9,AA,242.48280826577533,622.3159361346139,601.7089750644907,643.6286318075823
2.417350869653931,9,AA,261.42725911825954,622.3822421147338,601.7641418750125,643.7067753701724
2.4500207862251537,9,AA,281.8517828083563,622.4617459132774,601.8315751140526,643.7990978655092
2.4826907027963774,9,AA,303.87201296523267,622.5543212941852,601.9112435209569,643.9053716539676
2.5153606193676,9,AA,327.6126173249266,622.6598499700923,602.0031315211868,644.0253687469946
2.548030535938823,9,AA,353.2080035378872,622.7782189959923,602.107232856943,644.1588622270738
2.5807004525100457,9,AA,380.8030801191245,622.9093166499404,602.223544482772,644.3056242554393
2.6133703690812684,9,AA,410.55407684910415,623.0530294370039,602.3520589190529,644.4654280542532
2.646040285652491,9,AA,442.62942927008913,623.2092414544202,602.4927619182149,644.6380490906473
2.678710202223714,9,AA,477.2107322855156,623.3778320043192,602.6456268327679,644.8232661650763
2.7113801187949367,9,AA,514.4937682612126,623.5586720772467,602.8106064733026,645.0208628503281
2.7440500353661603,9,AA,554.6896154490723,623.7516235975862,602.9876296875717,645.2306295938662
2.776719951937383,9,AA,598.0258430085148,623.9565356275068,603.1765935719434,645.4523642019344
2.809389868508606,9,AA,644.7477993913884,624.1732469638538,603.377365199455,645.6858753669269
2.8420597850798286,9,AA,695.1200013844872,624.401586058045,603.5897799740437,645.9309842664469
2.8747297016510514,9,AA,749.4276316737798,624.6413667801792,603.8136340768981,646.1875238864178
2.907399618222274,9,AA,807.9781534088147,624.8923910212582,604.0486870737774,646.4553416181355
2.940069534793497,9,AA,871.1030509081754,625.154445478603,604.2946566940311,646.7342981977419
2.9727394513647205,9,AA,939.1597063610093,625.4273007595858,604.5512172943149,647.0242674988984
3.0054093679359433,9,AA,1012.5334231495772,625.7107189411096,604.8180104245376,647.325140868385
3.038079284507166,9,AA,1091.6396072479165,626.0044533643456,605.0946448525613,647.6368266777175
3.070749201078389,9,AA,1176.926119046585,626.3082492489797,605.3806979928348,647.9592500684005
3.1034191176496115,9,AA,1268.8758089183925,626.62184843539535,605.6757230919753,648.2923550775449
3.1360890342208343,9,AA,1368.0092508802381,626.9449864267148,605.979245963588,648.6361020179422
3.168758950792057,9,AA,1474.8876898277067,627.2773885642141,606.2907609267095,648.9904639195134
3.20142886736328,9,AA,1590.1162190282182,627.6187696398922,606.6097320414159,649.3554244154434
3.2340987839345035,9,AA,1714.3472058621442,627.9688387538031,606.9356017323753,649.730978575358
3.266768700505726,9,AA,1848.2839852067314,628.3272992052939,607.2677925043763,650.1171308599802
3.299438617076949,9,AA,1992.6848413730143,628.6938507620347,607.6057124386493,650.5138939520832
